header,category,location,title,description,website_url,image_url,youtube_url
나의,강원,양양,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_007/2005_010_007.md,./img/cards_webp/region_webp/center_463_20220214133341_CX.webp,https://youtu.be/oIbfISpGZ3w
나의,강원,영월,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_008/005_010_008.md,./img/cards_webp/region_webp/center_470_20220214134203_CE.webp,https://youtu.be/tnCpQqKDnSM
나의,강원,원주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_009/005_010_009.md,./img/cards_webp/region_webp/center_455_20220214130301_9W.webp,https://youtu.be/wOisVd3kI3Q
나의,강원,인제,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_010/005_010_010.md,./img/cards_webp/region_webp/center_464_20220214133500_E7.webp,https://youtu.be/mrzeR5xoxDw
나의,강원,정선,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_011/005_010_011.md,./img/cards_webp/region_webp/center_465_20220214133616_9D.webp,https://youtu.be/v76RRgtjPpY
나의,강원,철원,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_012/005_010_012.md,./img/cards_webp/region_webp/center_466_20220214133728_A2.webp,https://youtu.be/evltjgoIrzk
나의,강원,춘천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_013/005_010_013.md,./img/cards_webp/region_webp/center_475_20220214141735_F9.webp,https://youtu.be/LfauTbvhC3Q
나의,강원,태백,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_014/005_010_014.md,./img/cards_webp/region_webp/center_467_20220214133833_JW.webp,https://youtu.be/rC4TEpZnIS0
나의,강원,평창,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_015/005_010_015.md,./img/cards_webp/region_webp/center_468_20220214133944_U4.webp,https://youtu.be/aeS7bL1sRYQ
나의,강원,홍천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_016/005_010_016.md,./img/cards_webp/region_webp/center_471_20220214134320_RG.webp,https://youtu.be/dm8tdw35twI
나의,강원,화천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_017/005_010_017.md,./img/cards_webp/region_webp/center_469_20220214134050_4Q.webp,https://youtu.be/SYPPOAgYQrc
나의,강원,횡성,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_018/005_010_018.md,./img/cards_webp/region_webp/center_472_20220214134440_43.webp,https://youtu.be/_wLJnJteTOs
나의,충북,충청북도,,충청권 메가시티와 강호축 연결 실현!,https://github.com/p4u-jm/jm-2022-pledges/blob/main/theminjoo_board/745527/745527.md,./img/cards_webp/region_webp/center_480_20220214164353_K9.webp,https://youtu.be/LkIAfgZGLOI
나의,충북,괴산,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_001/005_011_001.md,./img/cards_webp/region_webp/center_439_20220212155131_LS.webp,https://youtu.be/s6H190i3trI
나의,충북,단양,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_002/005_011_002.md,./img/cards_webp/region_webp/center_435_20220212154402_Z7.webp,https://youtu.be/NxU6CCb3FRs
나의,충북,보은,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_003/005_011_003.md,./img/cards_webp/region_webp/center_436_20220212154545_ZJ.webp,https://youtu.be/4w0a1fwyzoo
나의,충북,영동,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_004/005_011_004.md,./img/cards_webp/region_webp/center_438_20220212154944_G7.webp,https://youtu.be/bjRoLRBDexI
나의,충북,옥천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_005/005_011_005.md,./img/cards_webp/region_webp/center_437_20220212154809_7U.webp,https://youtu.be/uf5F1FDrSig
나의,충북,음성,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_006/005_011_006.md,./img/cards_webp/region_webp/center_443_20220212162602_KW.webp,https://youtu.be/bRnrXcWLbQg
나의,충북,제천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_007/005_011_007.md,./img/cards_webp/region_webp/center_434_20220212154304_PX.webp,https://youtu.be/SsFiSfBpjKU
나의,충북,증평,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_008/005_011_008.md,./img/cards_webp/region_webp/center_441_20220212162237_VL.webp,https://youtu.be/rUFrRrwQTiA
나의,충북,진천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_009/005_011_009.md,./img/cards_webp/region_webp/center_442_20220212162423_L2.webp,https://youtu.be/2mLNg3KpCc8
나의,충북,청주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_010/005_011_010.md,./img/cards_webp/region_webp/center_444_20220212162751_TN.webp,https://youtu.be/wgbd_52VYHU
나의,충북,충주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_011/005_011_011/005_011_011.md,./img/cards_webp/region_webp/center_445_20220212162916_LU.webp,https://youtu.be/2yljS8FLBms
나의,충남,충청남도,,"환황해권의 중심, 첨단산업 선도",https://github.com/p4u-jm/jm-2022-pledges/blob/main/theminjoo_board/745523/745523.md,./img/cards_webp/region_webp/center_483_20220214164534_XD.webp,https://youtu.be/Jbabvx4Jlxc
나의,충남,계룡,,,,./img/cards_webp/region_webp/center_307_20220205193117_V9.webp,https://youtu.be/9KnwX1EKO0s
나의,충남,공주,,,,./img/cards_webp/region_webp/center_308_20220205193210_JK.webp,https://youtu.be/s_BolN6Rg4s
나의,충남,금산,,,,./img/cards_webp/region_webp/center_309_20220205193402_FU.webp,https://youtu.be/3WVaGYn3ggM
나의,충남,논산,,,,./img/cards_webp/region_webp/center_310_20220205193453_HL.webp,https://youtu.be/-uJEGbS9o_E
나의,충남,당진,,,,./img/cards_webp/region_webp/center_304_20220205192833_3U.webp,https://youtu.be/OqP33DiTEF8
나의,충남,보령,,,,./img/cards_webp/region_webp/center_311_20220205193542_3F.webp,https://youtu.be/3RRuespeoQY
나의,충남,부여,,,,./img/cards_webp/region_webp/center_312_20220205193632_9P.webp,https://youtu.be/AOfSH5VAb98
나의,충남,서산,,,,./img/cards_webp/region_webp/center_305_20220205192922_H9.webp,https://youtu.be/rOXcMNcxed8
나의,충남,서천,,,,./img/cards_webp/region_webp/center_313_20220206113635_N2.webp,https://youtu.be/730V-8henUg
나의,충남,아산,,,,./img/cards_webp/region_webp/center_306_20220205193022_CP.webp,https://youtu.be/M0b6q0YGb6o
나의,충남,예산,,,,./img/cards_webp/region_webp/center_314_20220205193810_Z6.webp,https://youtu.be/M4IDeCeOdIc
나의,충남,천안,,,,./img/cards_webp/region_webp/center_315_20220205193852_CW.webp,https://youtu.be/1XS-dAEaDPg
나의,충남,청양,,,,./img/cards_webp/region_webp/center_316_20220205193941_CK.webp,https://youtu.be/yW7Bc9vCtdg
나의,충남,태안,,,,./img/cards_webp/region_webp/center_302_20220205192638_BY.webp,https://youtu.be/GD8ZNyCvvSo
나의,충남,홍성,,,,./img/cards_webp/region_webp/center_303_20220205192736_R4.webp,https://youtu.be/FUkIMqdDz-c
나의,전북,전라북도,,"그린뉴딜의 중심, 농생명 수도! 새만금·전북특별자치도",https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_013/005_013.md,./img/cards_webp/region_webp/center_499_20220220161859_8J.webp,
나의,전북,고창,,,,./img/cards_webp/region_webp/center_281_20220205170548_SB.webp,https://youtu.be/K49F0jTV3kU
나의,전북,군산,,,,./img/cards_webp/region_webp/center_339_20220210200519_NF.webp,https://youtu.be/ewAununNLz8
나의,전북,김제,,,,./img/cards_webp/region_webp/center_340_20220210200640_AS.webp,https://youtu.be/G26xOznAwqY
나의,전북,남원,,,,./img/cards_webp/region_webp/center_342_20220210200820_GQ.webp,https://youtu.be/htPOX_GmHTE
나의,전북,무주,,,,./img/cards_webp/region_webp/center_347_20220210201348_NA.webp,https://youtu.be/xIK_a-MKKcQ
나의,전북,부안,,,,./img/cards_webp/region_webp/center_341_20220210200726_9K.webp,https://youtu.be/JxHrEUqGyBA
나의,전북,순창,,,,./img/cards_webp/region_webp/center_344_20220210201037_WW.webp,https://youtu.be/gK8D9tCyTuY
나의,전북,완주,,,,./img/cards_webp/region_webp/center_345_20220210201122_YW.webp,https://youtu.be/oEX6TY2kpOc
나의,전북,익산,,,,./img/cards_webp/region_webp/center_349_20220210201753_AM.webp,https://youtu.be/ffS6yO6keMA
나의,전북,임실,,,,./img/cards_webp/region_webp/center_343_20220210200949_A7.webp,https://youtu.be/7z7VUoIfUDA
나의,전북,장수,,,,./img/cards_webp/region_webp/center_348_20220210201710_BF.webp,https://youtu.be/Xlt5qWy_WKI
나의,전북,전주,,,,./img/cards_webp/region_webp/center_350_20220210201841_BR.webp,https://youtu.be/G9hKX6wallY
나의,전북,정읍,,,,./img/cards_webp/region_webp/center_280_20220205170600_7H.webp,https://youtu.be/LFnlfMMljD8
나의,전북,진안,,,,./img/cards_webp/region_webp/center_346_20220210201218_CT.webp,https://youtu.be/23Zmsnac72g
나의,전남,전라남도,,4차 산업혁명 시대를 이끌신해양 친환경 수도,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_014/005_014.md,./img/cards_webp/region_webp/center_496_20220219151126_RX.webp,
나의,전남,강진,,,,./img/cards_webp/region_webp/center_354_20220210204248_69.webp,https://youtu.be/Uycht470ZeA
나의,전남,고흥,,,,./img/cards_webp/region_webp/center_351_20220210204009_37.webp,https://youtu.be/hxJp_Sn1cIU
나의,전남,곡성,,,,./img/cards_webp/region_webp/center_364_20220210205146_GS.webp,https://youtu.be/7S9pszDMHIQ
나의,전남,광양,,,,./img/cards_webp/region_webp/center_363_20220210205102_KQ.webp,https://youtu.be/lxBhns3UwlI
나의,전남,구례,,,,./img/cards_webp/region_webp/center_365_20220210205232_AF.webp,https://youtu.be/NSH77iyBCjY
나의,전남,나주,,,,./img/cards_webp/region_webp/center_355_20220210204343_2U.webp,https://youtu.be/W6znAIcaeno
나의,전남,담양,,,,./img/cards_webp/region_webp/center_357_20220210204527_8U.webp,https://youtu.be/2XFmN1QmZAo
나의,전남,목포,,,,./img/cards_webp/region_webp/center_361_20220210204849_8T.webp,https://youtu.be/3EKbvmi2kSQ
나의,전남,무안,,,,./img/cards_webp/region_webp/center_368_20220211104019_G8.webp,https://youtu.be/iEaO2BoE-wA
